红潮报告编号,报告日期,消退日期,组别,品种,最近水质监测点,经度,纬度,最近水质检测点距离
1981S0002,1981-02-14 00:00:00,1981-02-15 00:00:00,甲藻,米氏凯伦藻,JM3,114.260857830927,22.2987586388346,0.007259223985328995
1981S0003,1981-03-25 00:00:00,1981-03-26 00:00:00,甲藻,简单裸甲藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1981S0004,1981-10-14 00:00:00,1981-10-15 00:00:00,其他藻类,品种不详,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1982S0001,1982-01-22 00:00:00,1982-01-23 00:00:00,其他藻类,品种不详,SM11,114.005557719705,22.2658003857783,0.014994290131340463
1982S0003,1982-03-10 00:00:00,1982-03-11 00:00:00,其他藻类,品种不详,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1982S0004,1982-03-15 00:00:00,1982-03-16 00:00:00,甲藻,裸甲藻,PM2,114.28024213581,22.3793233682376,0.002877734267096839
1982S0005,1982-03-19 00:00:00,1982-03-20 00:00:00,甲藻,夜光藻,TM3,114.178729832492,22.4471825431082,0.024290713811241524
1982S0005,1982-03-19 00:00:00,1982-03-20 00:00:00,甲藻,海洋原甲藻,TM3,114.178729832492,22.4471825431082,0.024290713811241524
1982S0006,1982-05-05 00:00:00,1982-05-06 00:00:00,其他藻类,品种不详,TM3,114.178729832492,22.4471825431082,0.024290713811241524
1982S0007,1982-05-12 00:00:00,1982-05-13 00:00:00,甲藻,裸甲藻,PM9,114.318429885789,22.341440913415,0.018183944957734496
1982S0008,1982-09-09 00:00:00,1982-09-10 00:00:00,其他藻类,品种不详,PM7,114.288800994762,22.3442848112631,0.007114781695283292
1982S0009,1982-09-23 00:00:00,1982-09-24 00:00:00,甲藻,多纹膝沟藻,PM7,114.288800994762,22.3442848112631,0.007114781695283292
1982S0010,1982-10-30 00:00:00,1982-10-31 00:00:00,其他藻类,品种不详,PM1,114.288613743495,22.3896902454938,0.0036878239344404298
1982S0011,1982-11-23 00:00:00,1982-11-24 00:00:00,甲藻,旋纹环沟藻,WM4,114.054940250966,22.3544048559501,0.01688168094234414
1983S0001,1983-03-03 00:00:00,1983-03-04 00:00:00,其他藻类,红色中缢虫,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1983S0002,1983-03-09 00:00:00,1983-03-10 00:00:00,其他藻类,品种不详,TM3,114.200446919206,22.4559982917164,0.008766712068023059
1983S0003,1983-03-21 00:00:00,1983-03-22 00:00:00,甲藻,夜光藻,TM3,114.178729832492,22.4471825431082,0.024290713811241524
1983S0004,1983-04-11 00:00:00,1983-04-12 00:00:00,甲藻,夜光藻,SM1,114.223527619083,22.2323619896757,0.021557376962761447
1983S0005,1983-04-20 00:00:00,1983-04-21 00:00:00,甲藻,夜光藻,MM6,114.347581510491,22.4490860878233,0.006899829323867183
1983S0006,1983-04-20 00:00:00,1983-04-21 00:00:00,甲藻,夜光藻,SM1,114.21514462962,22.2207986226751,0.018357717096631296
1983S0007,1983-05-16 00:00:00,1983-05-17 00:00:00,其他藻类,微尖隐藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1983S0008,1983-05-19 00:00:00,1983-05-20 00:00:00,甲藻,叉角藻,PM7,114.288800994762,22.3442848112631,0.007114781695283292
1983S0009,1983-08-12 00:00:00,1983-08-13 00:00:00,甲藻,夜光藻,SM4,114.133440105449,22.2084416628988,0.006634975063877966
1983S0010,1983-08-14 00:00:00,1983-08-15 00:00:00,其他藻类,品种不详,MM6,114.372927853953,22.4729462306435,0.02881025887270707
1983S0011,1983-09-19 00:00:00,1983-09-20 00:00:00,甲藻,叉角藻,PM6,114.270930516511,22.3545246416136,0.002913448445825963
1983S0012,1983-09-20 00:00:00,1983-09-21 00:00:00,甲藻,叉角藻,TM5,114.234189939163,22.4658700071974,0.013243276154042749
1983S0013,1983-10-18 00:00:00,1983-10-19 00:00:00,甲藻,米氏凯伦藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1983S0014,1983-11-11 00:00:00,1983-11-12 00:00:00,甲藻,海洋原甲藻,TM3,114.178729832492,22.4471825431082,0.024290713811241524
1983S0015,1983-11-12 00:00:00,1983-11-13 00:00:00,甲藻,旋纹环沟藻,DM3,113.974129841178,22.4786281849001,0.015074669168538753
1983S0016,1983-12-13 00:00:00,1983-12-14 00:00:00,甲藻,的里亚斯特原甲藻,TM3,114.178729832492,22.4471825431082,0.024290713811241524
1983S0017,1983-12-13 00:00:00,1983-12-14 00:00:00,甲藻,圆鳞异囊藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1983S0018,1983-12-14 00:00:00,1983-12-15 00:00:00,甲藻,夜光藻,SM12,114.005965407858,22.235803653668,0.023082770849797353
1983S0019,1983-12-14 00:00:00,1983-12-15 00:00:00,其他藻类,红色中缢虫,NM3,113.907831074412,22.3212664601332,0.04601232429753884
1983S0020,1983-12-14 00:00:00,1983-12-19 00:00:00,其他藻类,红色中缢虫,NM3,113.951958352938,22.3612583985598,0.01588547793076106
1983S0021,1983-12-18 00:00:00,1983-12-19 00:00:00,其他藻类,红色中缢虫,NM3,113.952063951024,22.3610616442265,0.015739194008229783
1983S0022,1983-12-19 00:00:00,1983-12-20 00:00:00,其他藻类,红色中缢虫,JM3,114.258739591895,22.2870846325807,0.004937749835507319
1983S0023,1983-12-28 00:00:00,1983-12-29 00:00:00,甲藻,裸甲藻,TM2,114.218635092859,22.4164807494434,0.004117882294862863
1984S0001,1984-01-15 00:00:00,1984-01-16 00:00:00,甲藻,夜光藻,PM6,114.275221172789,22.3361897188202,0.016297665593931504
1984S0002,1984-01-17 00:00:00,1984-01-19 00:00:00,其他藻类,伸长斜片藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1984S0003,1984-01-18 00:00:00,1984-01-20 00:00:00,其他藻类,红色中缢虫,PM7,114.288820873642,22.3442695990984,0.007090050141989549
1984S0004,1984-01-30 00:00:00,1984-01-31 00:00:00,其他藻类,伸长斜片藻,TM4,114.215302966531,22.4387958663185,0.007430935528610408
1984S0005,1984-02-10 00:00:00,1984-02-21 00:00:00,甲藻,夜光藻,TM3,114.208580263924,22.4547049747073,0.009010978045091262
1984S0005,1984-02-10 00:00:00,1984-02-21 00:00:00,硅藻,柔弱畿内亚藻,TM3,114.208580263924,22.4547049747073,0.009010978045091262
1984S0006,1984-02-24 00:00:00,1984-02-25 00:00:00,其他藻类,品种不详,MM19,114.297117198786,22.25930690765,0.02708229808376062
1984S0007,1984-03-05 00:00:00,1984-03-07 00:00:00,其他藻类,伸长斜片藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1984S0008,1984-03-09 00:00:00,1984-03-10 00:00:00,甲藻,夜光藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1984S0009,1984-03-13 00:00:00,1984-03-14 00:00:00,甲藻,夜光藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1984S0009,1984-03-13 00:00:00,1984-03-14 00:00:00,甲藻,旋沟藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1984S0009,1984-03-13 00:00:00,1984-03-14 00:00:00,其他藻类,红色中缢虫,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1984S0011,1984-03-14 00:00:00,1984-03-16 00:00:00,甲藻,夜光藻,MM7,114.302904690136,22.5365981421075,0.014355512084917008
1984S0010,1984-03-15 00:00:00,1984-03-16 00:00:00,甲藻,夜光藻,TM3,114.206204915415,22.4558062082928,0.008788260472511928
1984S0010,1984-03-15 00:00:00,1984-03-16 00:00:00,甲藻,旋沟藻,TM3,114.206204915415,22.4558062082928,0.008788260472511928
1984S0010,1984-03-15 00:00:00,1984-03-16 00:00:00,其他藻类,红色中缢虫,TM3,114.206204915415,22.4558062082928,0.008788260472511928
1984S0012,1984-03-26 00:00:00,1984-03-27 00:00:00,甲藻,夜光藻,MM17,114.354709957815,22.4973032169497,0.00797998378210844
1984S0013,1984-03-27 00:00:00,1984-03-31 00:00:00,甲藻,夜光藻,MM7,114.302904690136,22.5365981421075,0.014355512084917008
1984S0014,1984-03-27 00:00:00,1984-03-28 00:00:00,其他藻类,品种不详,SM2,114.195458765247,22.2358870947389,0.020904150899294375
1984S0015,1984-03-27 00:00:00,1984-03-31 00:00:00,甲藻,夜光藻,TM3,114.206204915415,22.4558062082928,0.008788260472511928
1984S0015,1984-03-27 00:00:00,1984-03-31 00:00:00,硅藻,微小细柱藻,TM3,114.206204915415,22.4558062082928,0.008788260472511928
1984S0016,1984-03-31 00:00:00,1984-04-01 00:00:00,甲藻,夜光藻,SM1,114.215130233064,22.2208233250361,0.018381920170185913
1984S0017,1984-04-03 00:00:00,1984-04-11 00:00:00,甲藻,夜光藻,TM8,114.315079454233,22.4817706407252,0.017301455920885465
1984S0017,1984-04-03 00:00:00,1984-04-11 00:00:00,甲藻,简单裸甲藻,TM8,114.315079454233,22.4817706407252,0.017301455920885465
1984S0018,1984-04-05 00:00:00,1984-04-06 00:00:00,甲藻,夜光藻,SM4,114.133910159606,22.2096986281726,0.00551824673813733
1984S0019,1984-04-11 00:00:00,1984-04-12 00:00:00,其他藻类,品种不详,MM6,114.347511634005,22.4493108747519,0.006714205925169514
1984S0020,1984-04-12 00:00:00,1984-04-19 00:00:00,甲藻,夜光藻,TM3,114.202349467846,22.4416641134058,0.005989828427265847
1984S0020,1984-04-12 00:00:00,1984-04-19 00:00:00,甲藻,红色裸甲藻,TM3,114.202349467846,22.4416641134058,0.005989828427265847
1984S0021,1984-04-19 00:00:00,1984-04-26 00:00:00,甲藻,夜光藻,TM5,114.218695955041,22.446225317711,0.012218491842104325
1984S0022,1984-04-19 00:00:00,1984-04-20 00:00:00,甲藻,海洋原甲藻,TM4,114.222957622947,22.4433547479941,0.01113948298849339
1984S0023,1984-05-02 00:00:00,1984-05-25 00:00:00,甲藻,细齿原甲藻,TM8,114.301284100688,22.4722932927799,0.001531379277348047
1984S0024,1984-06-12 00:00:00,1984-06-15 00:00:00,甲藻,细齿原甲藻,TM3,114.185011869651,22.4504313859787,0.018223483760167778
1984S0025,1984-07-12 00:00:00,1984-07-21 00:00:00,甲藻,反曲原甲藻,TM8,114.315079454233,22.4817706407252,0.017301455920885465
1984S0026,1984-09-20 00:00:00,1984-10-03 00:00:00,甲藻,叉角藻,PM2,114.28024213581,22.3793233682376,0.002877734267096839
1984S0027,1984-10-01 00:00:00,1984-10-08 00:00:00,其他藻类,红海束毛藻,MM6,114.381167373147,22.3976798619826,0.06576782300427546
1984S0028,1984-10-10 00:00:00,1984-10-11 00:00:00,其他藻类,品种不详,PM3,114.28044680452,22.3706907350434,0.001987569594022063
1984S0029,1984-10-15 00:00:00,1984-10-17 00:00:00,甲藻,叉角藻,MM2,114.276696580814,22.3704550386362,0.0038658497642188676
1985S0001,1985-01-16 00:00:00,1985-01-18 00:00:00,其他藻类,伸长斜片藻,TM3,114.178729832492,22.4471825431082,0.024290713811241524
1985S0002,1985-01-17 00:00:00,1985-01-25 00:00:00,甲藻,夜光藻,MM3,114.289410351792,22.549724182846,0.024135895690873717
1985S0003,1985-01-23 00:00:00,1985-01-24 00:00:00,甲藻,夜光藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1985S0004,1985-01-23 00:00:00,1985-01-25 00:00:00,硅藻,中肋骨条藻,NM3,113.934619799805,22.3547729643782,0.014448758774851493
1985S0005,1985-01-30 00:00:00,1985-02-04 00:00:00,其他藻类,红色中缢虫,SM12,114.006317592245,22.2361241510832,0.023254956093495007
1985S0007,1985-02-05 00:00:00,1985-02-06 00:00:00,甲藻,夜光藻,PM4,114.301285709077,22.3685611313728,0.018508085715953464
1985S0006,1985-02-05 00:00:00,1985-02-06 00:00:00,甲藻,的里亚斯特原甲藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1985S0008,1985-02-08 00:00:00,1985-02-09 00:00:00,甲藻,的里亚斯特原甲藻,TM3,114.190426842355,22.448641321296,0.012631452540843423
1985S0009,1985-02-12 00:00:00,1985-02-13 00:00:00,甲藻,夜光藻,MM3,114.289307874462,22.5496188525662,0.024277545270065048
1985S0010,1985-02-18 00:00:00,1985-02-19 00:00:00,甲藻,的里亚斯特原甲藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1985S0011,1985-03-18 00:00:00,1985-03-20 00:00:00,甲藻,夜光藻,MM3,114.289410351792,22.549724182846,0.024135895690873717
1985S0012,1985-03-26 00:00:00,1985-03-27 00:00:00,甲藻,夜光藻,PM7,114.308073363302,22.3386758083625,0.01320913162143917
1985S0013,1985-03-27 00:00:00,1985-03-29 00:00:00,甲藻,夜光藻,SM2,114.182106672236,22.2402970193189,0.01664921620078864
1985S0014,1985-04-02 00:00:00,1985-04-03 00:00:00,甲藻,夜光藻,MM3,114.289410351792,22.549724182846,0.024135895690873717
1985S0015,1985-04-16 00:00:00,1985-04-17 00:00:00,其他藻类,品种不详,TM2,114.218635092859,22.4164807494434,0.004117882294862863
1985S0016,1985-05-02 00:00:00,1985-05-07 00:00:00,甲藻,细齿原甲藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1985S0016,1985-05-02 00:00:00,1985-05-07 00:00:00,甲藻,的里亚斯特原甲藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1985S0017,1985-05-07 00:00:00,1985-05-08 00:00:00,甲藻,的里亚斯特原甲藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1985S0018,1985-05-14 00:00:00,1985-05-20 00:00:00,甲藻,旋纹环沟藻,VM5,114.174612687157,22.2890684975176,0.001414799229933529
1985S0019,1985-05-20 00:00:00,1985-05-24 00:00:00,甲藻,的里亚斯特原甲藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1985S0020,1985-06-13 00:00:00,1985-06-14 00:00:00,甲藻,反曲原甲藻,TM7,114.266042993605,22.4426088000076,0.006049468096794724
1985S0021,1985-09-24 00:00:00,1985-09-25 00:00:00,其他藻类,品种不详,PM7,114.288800994762,22.3442848112631,0.007114781695283292
1985S0022,1985-10-16 00:00:00,1985-10-18 00:00:00,甲藻,的里亚斯特原甲藻,TM2,114.218635092859,22.4164807494434,0.004117882294862863
1985S0023,1985-10-25 00:00:00,1985-10-29 00:00:00,甲藻,的里亚斯特原甲藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1985S0024,1985-11-08 00:00:00,1985-11-09 00:00:00,甲藻,叉角藻,PM3,114.280379021009,22.3707019401543,0.002043290072465454
1985S0025,1985-11-13 00:00:00,1985-11-16 00:00:00,甲藻,的里亚斯特原甲藻,TM2,114.217079265147,22.4115949641525,0.0012869481877236617
1985S0026,1985-11-20 00:00:00,1985-11-22 00:00:00,甲藻,的里亚斯特原甲藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1985S0027,1985-12-03 00:00:00,1985-12-07 00:00:00,甲藻,的里亚斯特原甲藻,TM3,114.207867381726,22.4537088928599,0.007787467918627369
1985S0028,1985-12-23 00:00:00,1985-12-31 00:00:00,甲藻,的里亚斯特原甲藻,TM2,114.217079265147,22.4115949641525,0.0012869481877236617
1985S0028,1985-12-23 00:00:00,1985-12-31 00:00:00,硅藻,中肋海链藻,TM2,114.217079265147,22.4115949641525,0.0012869481877236617
1986S0001,1986-01-22 00:00:00,1986-01-23 00:00:00,其他藻类,品种不详,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1986S0002,1986-02-19 00:00:00,1986-02-20 00:00:00,甲藻,夜光藻,TM4,114.219771283758,22.4259887338523,0.006746774065051685
1986S0003,1986-02-25 00:00:00,1986-02-26 00:00:00,其他藻类,红色中缢虫,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1986S0004,1986-03-04 00:00:00,1986-03-08 00:00:00,其他藻类,红色中缢虫,TM4,114.22864748815,22.4378188781298,0.010378815332284168
1986S0005,1986-03-11 00:00:00,1986-03-12 00:00:00,甲藻,夜光藻,MM7,114.302904690136,22.5365981421075,0.014355512084917008
1986S0006,1986-03-19 00:00:00,1986-03-20 00:00:00,甲藻,夜光藻,TM5,114.233879026517,22.4648108932466,0.012322959732372097
1986S0007,1986-04-04 00:00:00,1986-04-11 00:00:00,甲藻,夜光藻,MM7,114.302640178741,22.5365538656619,0.01420925234497655
1986S0008,1986-04-14 00:00:00,1986-04-16 00:00:00,甲藻,的里亚斯特原甲藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1986S0009,1986-04-14 00:00:00,1986-04-15 00:00:00,甲藻,夜光藻,TM3,114.207867381726,22.4537088928599,0.007787467918627369
1986S0010,1986-04-18 00:00:00,1986-04-19 00:00:00,甲藻,夜光藻,MM6,114.328454887346,22.4619784229027,0.022431016161549706
1986S0011,1986-04-24 00:00:00,1986-04-25 00:00:00,甲藻,多纹膝沟藻,PM3,114.285465343862,22.3668797763723,0.004346118470522067
1986S0012,1986-04-30 00:00:00,1986-05-01 00:00:00,甲藻,微小原甲藻,TM4,114.219771283758,22.4259887338523,0.006746774065051685
1986S0013,1986-05-14 01:00:00,1986-05-15 01:00:00,硅藻,丹麦细柱藻,TM6,114.252339004951,22.4488205484633,0.011682494974897477
1986S0013,1986-05-14 01:00:00,1986-05-15 01:00:00,其他藻类,微尖隐藻,TM6,114.252339004951,22.4488205484633,0.011682494974897477
1986S0014,1986-05-15 01:00:00,1986-05-17 01:00:00,硅藻,中肋骨条藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1986S0015,1986-05-25 01:00:00,1986-05-26 01:00:00,其他藻类,品种不详,SM3,114.149753662017,22.228182134298,0.0027335189798878114
1986S0016,1986-05-27 01:00:00,1986-05-29 01:00:00,其他藻类,微尖隐藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1986S0017,1986-06-03 01:00:00,1986-06-13 01:00:00,甲藻,的里亚斯特原甲藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1986S0018,1986-06-12 01:00:00,1986-06-13 01:00:00,甲藻,裸甲藻,MM1,114.220249562559,22.5348466838985,0.02305184872214869
1986S0019,1986-06-20 01:00:00,1986-06-21 01:00:00,其他藻类,品种不详,TM8,114.298909456754,22.4726467039114,0.0012676653571200456
1986S0020,1986-06-22 01:00:00,1986-06-23 01:00:00,其他藻类,品种不详,PM7,114.301038128102,22.3467448167642,0.008379419202819309
1986S0021,1986-07-15 01:00:00,1986-07-16 01:00:00,甲藻,叉角藻,MM16,114.414719528493,22.4301181539483,0.03686794930548677
1986S0022,1986-07-29 01:00:00,1986-08-01 01:00:00,硅藻,中肋骨条藻,JM4,114.249732934622,22.2865340858608,0.008449928672224096
1986S0022,1986-07-29 01:00:00,1986-08-01 01:00:00,硅藻,尖剌拟菱形藻,JM4,114.249732934622,22.2865340858608,0.008449928672224096
1986S0023,1986-09-12 01:00:00,1986-09-16 00:00:00,甲藻,圆鳞异囊藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1986S0024,1986-09-17 00:00:00,1986-09-18 00:00:00,硅藻,中肋骨条藻,TM2,114.218635092859,22.4164807494434,0.004117882294862863
1986S0025,1986-09-20 00:00:00,1986-09-29 00:00:00,甲藻,反曲原甲藻,TM7,114.277458559829,22.4300222316933,0.02089127822315674
1986S0026,1986-10-15 00:00:00,1986-10-16 00:00:00,甲藻,米氏凯伦藻,TM3,114.191593249631,22.4457272816072,0.01157861099866101
1986S0027,1986-10-15 00:00:00,1986-10-16 00:00:00,甲藻,的里亚斯特原甲藻,TM4,114.218934759773,22.4339779669543,0.001411260929145128
1986S0028,1986-11-05 00:00:00,1986-11-06 00:00:00,甲藻,的里亚斯特原甲藻,TM3,114.193957947644,22.4454522785336,0.009313697778538653
1986S0029,1986-11-12 00:00:00,1986-11-13 00:00:00,硅藻,中肋海链藻,TM2,114.208633065372,22.3973287844342,0.017789016363069034
1986S0030,1986-12-10 00:00:00,1986-12-12 00:00:00,甲藻,的里亚斯特原甲藻,TM3,114.197968513898,22.4444975552805,0.005934029171478214
1986S0031,1986-12-23 00:00:00,1986-12-29 00:00:00,甲藻,米氏凯伦藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1986S0032,1986-12-30 00:00:00,1986-12-31 00:00:00,其他藻类,红色中缢虫,MM19,114.295285721526,22.2837275123717,0.03368559372297611
1986S0033,1986-12-31 00:00:00,1987-01-01 00:00:00,甲藻,夜光藻,MM3,114.289410351792,22.549724182846,0.024135895690873717
1987S0001,1987-01-08 00:00:00,1987-01-09 00:00:00,硅藻,中肋骨条藻,TM3,114.196750111973,22.4420453723245,0.008385047904852621
1987S0002,1987-01-15 00:00:00,1987-01-21 00:00:00,甲藻,夜光藻,TM5,114.233050341346,22.4533369222261,0.009555819965683738
1987S0003,1987-01-23 00:00:00,1987-01-24 00:00:00,甲藻,夜光藻,MM3,114.290831133153,22.5495708677475,0.02300217145664257
1987S0004,1987-02-01 00:00:00,1987-02-02 00:00:00,其他藻类,品种不详,SM7,114.072450483639,22.2188384008324,0.010376226028429473
1987S0005,1987-02-02 00:00:00,1987-02-08 00:00:00,甲藻,夜光藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1987S0006,1987-02-04 00:00:00,1987-02-05 00:00:00,其他藻类,红色中缢虫,TM3,114.199306162608,22.4394892634084,0.008934345196257009
1987S0007,1987-02-06 00:00:00,1987-02-21 00:00:00,甲藻,的里亚斯特原甲藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1987S0008,1987-03-18 00:00:00,1987-03-23 00:00:00,其他藻类,赤潮异弯藻,TM5,114.22239966832,22.4543925618752,0.003288754175003869
1987S0009,1987-03-31 00:00:00,1987-04-01 00:00:00,甲藻,夜光藻,MM3,114.289411535369,22.5496132264025,0.02419103994485624
1987S0010,1987-04-01 00:00:00,1987-04-02 00:00:00,甲藻,的里亚斯特原甲藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1987S0011,1987-05-01 01:00:00,1987-05-02 01:00:00,甲藻,夜光藻,SM1,114.223527619083,22.2323619896757,0.021557376962761447
1987S0012,1987-05-06 01:00:00,1987-05-07 01:00:00,甲藻,夜光藻,WM4,114.076462191809,22.3668160527618,0.018654222365426933
1987S0013,1987-05-07 01:00:00,1987-05-08 01:00:00,甲藻,夜光藻,TM4,114.222067368922,22.4444594876187,0.011982929680269608
1987S0014,1987-05-07 01:00:00,1987-05-08 01:00:00,甲藻,夜光藻,SM11,114.000468656771,22.2701187204021,0.021641867619902232
1987S0015,1987-05-10 01:00:00,1987-05-11 01:00:00,甲藻,夜光藻,SM12,114.012766938362,22.2111362566474,0.0036433717944846103
1987S0016,1987-05-12 01:00:00,1987-05-13 01:00:00,甲藻,夜光藻,SM4,114.129596491294,22.2208323140926,0.012164974941422626
1987S0017,1987-05-13 01:00:00,1987-05-15 01:00:00,其他藻类,赤潮异弯藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1987S0018,1987-05-21 01:00:00,1987-05-22 01:00:00,甲藻,夜光藻,MM3,114.289410351792,22.549724182846,0.024135895690873717
1987S0019,1987-05-31 01:00:00,1987-06-02 01:00:00,甲藻,夜光藻,SM2,114.18680761166,22.2439096937891,0.021590324206312007
1987S0020,1987-06-01 01:00:00,1987-06-02 01:00:00,甲藻,夜光藻,PM9,114.35257804742,22.3490665389581,0.017410815906051064
1987S0021,1987-06-15 01:00:00,1987-06-16 01:00:00,甲藻,夜光藻,SM2,114.1954639453,22.2358881687969,0.020909036619558893
1987S0022,1987-06-24 01:00:00,1987-06-25 01:00:00,硅藻,中肋骨条藻,TM3,114.202496489304,22.4439513422379,0.0037020518169774102
1987S0023,1987-07-28 01:00:00,1987-07-30 01:00:00,甲藻,圆鳞异囊藻,TM7,114.277458559829,22.4300222316933,0.02089127822315674
1987S0024,1987-08-03 01:00:00,1987-08-08 01:00:00,硅藻,中肋骨条藻,TM5,114.222389813107,22.4544402183019,0.0032553061243860205
1987S0025,1987-08-03 01:00:00,1987-08-07 01:00:00,硅藻,中肋骨条藻,VM5,114.17342035885,22.2896209887333,0.0025471751638437698
1987S0026,1987-08-04 01:00:00,1987-08-05 01:00:00,硅藻,中肋骨条藻,SM3,114.160490093323,22.2423756710962,0.020090418279781242
1987S0027,1987-08-12 01:00:00,1987-08-13 01:00:00,其他藻类,异双鞭裸藻,TM4,114.22134442269,22.443997275125,0.011398218948949053
1987S0028,1987-08-14 01:00:00,1987-08-15 01:00:00,甲藻,的里亚斯特原甲藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1987S0029,1987-09-01 01:00:00,1987-09-03 01:00:00,硅藻,中肋骨条藻,SM3,114.160490093323,22.2423756710962,0.020090418279781242
1987S0030,1987-09-02 01:00:00,1987-09-03 01:00:00,硅藻,中肋骨条藻,SM4,114.133440105449,22.2084416628988,0.006634975063877966
